Scopus-10-Analyze-Year

"Your query : (( TITLE ( evapotranspiration ) OR TITLE ( evaporation ) OR TITLE ( transpiration ) ) AND ( SRCTITLE ( ""Journal of Hydrology"" ) OR SRCTITLE ( ""Hydrological Processes"" ) OR SRCTITLE ( ""Water Resources Research"" ) OR SRCTITLE ( ""Advances in Water Resources"" ) OR SRCTITLE ( ""Water Resources Management"" ) OR SRCTITLE ( ""Hydrology and Earth System Sciences"" ) OR SRCTITLE ( ""Hydrological Sciences Journal"" ) OR SRCTITLE ( ""Hydrology Research"" ) OR SRCTITLE ( ""Water Research"" ) OR SRCTITLE ( ""Agricultural Water Management"" ) ) AND PUBYEAR > 1999 AND PUBYEAR < 2024 AND ( LIMIT-TO ( EXACTSRCTITLE,""Journal Of Hydrology"" ) OR LIMIT-TO ( EXACTSRCTITLE,""Water Resources Research"" ) OR LIMIT-TO ( EXACTSRCTITLE,""Hydrological Processes"" ) OR LIMIT-TO ( EXACTSRCTITLE,""Agricultural Water Management"" ) OR LIMIT-TO ( EXACTSRCTITLE,""Hydrology And Earth System Sciences"" ) OR LIMIT-TO ( EXACTSRCTITLE,""Water Research"" ) OR LIMIT-TO ( EXACTSRCTITLE,""Advances In Water Resources"" ) OR LIMIT-TO ( EXACTSRCTITLE,""Water Resources Management"" ) OR LIMIT-TO ( EXACTSRCTITLE,""Hydrological Sciences Journal"" ) ) )"


Number of results : 10

"YEAR",
"2023","186"
"2022","226"
"2021","213"
"2020","178"
"2019","133"
"2018","143"
"2017","128"
"2016","136"
"2015","104"
"2014","129"
"2013","118"
"2012","113"
"2011","93"
"2010","87"
"2009","80"
"2008","76"
"2007","54"
"2006","62"
"2005","43"
"2004","39"
"2003","32"
"2002","25"
"2001","35"
"2000","32"
