Scopus-10-Analyze-Year

"Your query : (( TITLE ( runoff ) OR TITLE ( ""overland flow"" ) OR TITLE ( streamflow ) ) AND ( SRCTITLE ( ""Journal of Hydrology"" ) OR SRCTITLE ( ""Hydrological Processes"" ) OR SRCTITLE ( ""Water Resources Research"" ) OR SRCTITLE ( ""Advances in Water Resources"" ) OR SRCTITLE ( ""Water Resources Management"" ) OR SRCTITLE ( ""Hydrology and Earth System Sciences"" ) OR SRCTITLE ( ""Hydrological Sciences Journal"" ) OR SRCTITLE ( ""Hydrology Research"" ) OR SRCTITLE ( ""Water Research"" ) OR SRCTITLE ( ""Agricultural Water Management"" ) ) AND PUBYEAR > 1999 AND PUBYEAR < 2024 AND ( LIMIT-TO ( EXACTSRCTITLE,""Journal Of Hydrology"" ) OR LIMIT-TO ( EXACTSRCTITLE,""Water Resources Research"" ) OR LIMIT-TO ( EXACTSRCTITLE,""Hydrological Processes"" ) OR LIMIT-TO ( EXACTSRCTITLE,""Agricultural Water Management"" ) OR LIMIT-TO ( EXACTSRCTITLE,""Hydrology And Earth System Sciences"" ) OR LIMIT-TO ( EXACTSRCTITLE,""Water Research"" ) OR LIMIT-TO ( EXACTSRCTITLE,""Advances In Water Resources"" ) OR LIMIT-TO ( EXACTSRCTITLE,""Water Resources Management"" ) OR LIMIT-TO ( EXACTSRCTITLE,""Hydrological Sciences Journal"" ) ) )"


Number of results : 10

"YEAR",
"2023","282"
"2022","294"
"2021","333"
"2020","285"
"2019","222"
"2018","213"
"2017","217"
"2016","221"
"2015","214"
"2014","225"
"2013","197"
"2012","204"
"2011","169"
"2010","169"
"2009","142"
"2008","169"
"2007","141"
"2006","142"
"2005","99"
"2004","85"
"2003","79"
"2002","91"
"2001","81"
"2000","70"
